segmentId,newSegmentId,frc,streetName,speedLimit,distance,averageSpeed,date,time,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,standardDeviationSpeed,shape,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio,speedPercentiles,hour,POI
-1.46E+13,-00004d59-3500-0400-0000-00000052bd56,5,Jalan Kuning,50,13.92,27.8,2024/8/8,19,2,1,16.1,27.6,13.5,"[{'latitude': 1.48478, 'longitude': 103.77516}, {'latitude': 1.48481, 'longitude': 103.77513}, {'latitude': 1.48484, 'longitude': 103.7751}, {'latitude': 1.48487, 'longitude': 103.77507}]",5.21,3459,3.11,1.82,1,"[5, 10, 15, 18, 20, 22, 23, 25, 26, 28, 29, 30, 31, 33, 35, 36, 39, 42, 52]",19,27
-1.46E+13,-00004d59-3500-0400-0000-00000052be3c,1,Lebuhraya Tebrau,70,33.81,37.4,2024/8/8,18,2,1,12.2,38.5,21.7,"[{'latitude': 1.48434, 'longitude': 103.76557}, {'latitude': 1.48426, 'longitude': 103.76555}, {'latitude': 1.48404, 'longitude': 103.7655}]",17.76,24652,9.95,3.16,1,"[2, 4, 10, 17, 21, 25, 28, 32, 35, 39, 41, 45, 48, 51, 53, 57, 60, 65, 72]",18,30
-1.46E+13,-00004d59-3500-0400-0000-00000052be5d,1,Lebuhraya Tebrau,70,12.05,40.7,2024/8/8,17,2,1,28.8,39.3,17.6,"[{'latitude': 1.48404, 'longitude': 103.7655}, {'latitude': 1.48393, 'longitude': 103.76548}]",1.9,26704,1.51,1.1,1,"[14, 19, 23, 26, 28, 31, 33, 35, 37, 39, 42, 44, 47, 50, 53, 56, 59, 64, 71]",17,29
-1.46E+13,-00004d59-3500-0400-0000-00000052be83,5,Jalan Serampang,50,204.75,47.3,2024/8/8,17,2,1,43.6,48,10.7,"[{'latitude': 1.48376, 'longitude': 103.78295}, {'latitude': 1.48406, 'longitude': 103.78114}]",9.74,8035,16.91,15.36,1,"[27, 34, 38, 40, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 64]",17,18
-1.46E+13,-00004d59-3500-0400-0000-00000052be9f,1,Lebuhraya Tebrau,70,19.55,41.5,2024/8/8,20,2,1,30.9,39.9,17,"[{'latitude': 1.48393, 'longitude': 103.76548}, {'latitude': 1.48377, 'longitude': 103.76541}]",2.55,26726,2.28,1.76,1,"[14, 20, 25, 28, 31, 33, 35, 36, 38, 40, 42, 44, 47, 50, 52, 56, 59, 64, 71]",20,29
-1.46E+13,-00004d59-3500-0400-0000-00000052c2c5,1,Lebuhraya Tebrau,50,15.57,38.2,2024/8/8,16,2,1,29.2,37.8,14.3,"[{'latitude': 1.47977, 'longitude': 103.76433}, {'latitude': 1.47964, 'longitude': 103.76428}]",2.39,34836,1.92,1.48,1,"[14, 20, 25, 28, 31, 32, 34, 35, 37, 38, 39, 41, 42, 44, 46, 48, 51, 55, 62]",16,37
-1.46E+13,-00004d59-3500-0400-0000-00000052c426,4,Jalan Ulu Air Molek,50,28.46,42.1,2024/8/8,11,2,1,39.6,42.5,8.8,"[{'latitude': 1.47812, 'longitude': 103.74983}, {'latitude': 1.47803, 'longitude': 103.74995}, {'latitude': 1.47802, 'longitude': 103.74997}, {'latitude': 1.47797, 'longitude': 103.75004}]",0.91,477,2.59,2.41,1,"[28, 32, 34, 36, 37, 38, 39, 40, 41, 43, 43, 44, 45, 46, 47, 49, 50, 52, 56]",11,36
-1.46E+13,-00004d59-3500-0400-0000-00000052c480,4,Jalan Ulu Air Molek,50,42.67,35.3,2024/8/8,10,2,1,23.3,37.3,13.9,"[{'latitude': 1.4777, 'longitude': 103.7523}, {'latitude': 1.47764, 'longitude': 103.75246}, {'latitude': 1.47755, 'longitude': 103.75265}]",8.87,434,6.59,4.12,1,"[8, 14, 23, 26, 30, 32, 34, 35, 37, 37, 38, 40, 41, 42, 43, 44, 45, 47, 51]",10,34
-1.46E+13,-00004d59-3500-0400-0000-00000052c4b1,1,Jalan Tun Abd Razak,50,16.08,56.7,2024/8/8,8,2,1,35.6,59.1,18.8,"[{'latitude': 1.47717, 'longitude': 103.75339}, {'latitude': 1.4773, 'longitude': 103.75333}]",3.61,45698,1.63,0.98,1,"[18, 31, 39, 44, 48, 51, 53, 55, 57, 59, 61, 63, 65, 67, 69, 71, 74, 77, 83]",8,33
-1.46E+13,-00004d59-3500-0400-0000-00000052c4d2,5,Jalan Abdul Rahman Andak,50,77.76,38.5,2024/8/8,7:00:00,2,1,30.3,39.6,11.4,"[{'latitude': 1.47787, 'longitude': 103.74961}, {'latitude': 1.47724, 'longitude': 103.74993}]",9.95,2719,9.24,7.07,1,"[13, 26, 30, 32, 33, 35, 36, 37, 38, 40, 41, 42, 43, 45, 46, 47, 49, 51, 54]",7,37
